Date,Temperature,Humidity,Windspeed,Visibility,Weather Type
2015-09-12 00:00:00,14,64,10,10,119
2015-09-12 01:00:00,14,66,10,8,119
2015-09-12 02:00:00,13,67,10,6,266
2015-09-12 03:00:00,13,69,10,5,266
2015-09-12 04:00:00,13,70,10,6,266
2015-09-12 05:00:00,13,71,10,6,116
2015-09-12 06:00:00,12,72,11,7,116
2015-09-12 07:00:00,14,69,12,8,116
2015-09-12 08:00:00,15,66,13,9,353
2015-09-12 09:00:00,17,63,14,10,353
2015-09-12 10:00:00,17,66,15,9,353
2015-09-12 11:00:00,17,68,16,8,263
2015-09-12 12:00:00,18,71,16,7,263
2015-09-12 13:00:00,17,74,15,7,263
2015-09-12 14:00:00,17,77,14,8,353
2015-09-12 15:00:00,16,80,13,8,353
2015-09-12 16:00:00,16,83,12,9,353
2015-09-12 17:00:00,16,86,11,9,176
2015-09-12 18:00:00,16,89,9,10,176
2015-09-12 19:00:00,15,90,9,10,176
2015-09-12 20:00:00,15,92,9,10,113
2015-09-12 21:00:00,15,94,9,10,113
2015-09-12 22:00:00,14,93,8,10,113
2015-09-12 23:00:00,13,92,7,10,116
2015-09-13 00:00:00,13,91,6,10,116
2015-09-13 01:00:00,12,91,5,10,116
2015-09-13 02:00:00,12,92,4,10,116
2015-09-13 03:00:00,12,92,3,10,116
2015-09-13 04:00:00,11,91,3,10,116
2015-09-13 05:00:00,11,90,3,10,119
2015-09-13 06:00:00,11,89,3,10,119
2015-09-13 07:00:00,12,86,3,10,119
2015-09-13 08:00:00,13,84,4,10,119
2015-09-13 09:00:00,14,81,4,10,119
2015-09-13 10:00:00,16,78,6,10,119
2015-09-13 11:00:00,17,74,7,10,122
2015-09-13 12:00:00,19,71,9,10,122
2015-09-13 13:00:00,19,72,11,9,122
2015-09-13 14:00:00,20,73,13,9,356
2015-09-13 15:00:00,20,74,14,8,356
2015-09-13 16:00:00,19,78,15,8,356
2015-09-13 17:00:00,19,82,15,8,176
2015-09-13 18:00:00,18,86,16,8,176
2015-09-13 19:00:00,18,87,15,9,176
2015-09-13 20:00:00,18,89,15,9,176
2015-09-13 21:00:00,17,90,14,10,176
2015-09-13 22:00:00,16,92,14,8,176
2015-09-13 23:00:00,15,93,14,5,248
2015-09-14 00:00:00,15,95,14,3,248
2015-09-14 01:00:00,14,96,13,3,248
2015-09-14 02:00:00,13,96,12,2,143
2015-09-14 03:00:00,13,97,11,1,143
2015-09-14 04:00:00,13,97,12,1,143
2015-09-14 05:00:00,14,97,12,1,248
2015-09-14 06:00:00,14,97,12,1,248
2015-09-14 07:00:00,15,95,14,3,248
2015-09-14 08:00:00,15,94,15,5,176
2015-09-14 09:00:00,16,92,17,7,176
2015-09-14 10:00:00,16,90,19,8,176
2015-09-14 11:00:00,16,88,20,9,353
2015-09-14 12:00:00,16,86,22,10,353
2015-09-14 13:00:00,16,81,22,10,353
2015-09-14 14:00:00,16,76,22,10,353
2015-09-14 15:00:00,15,71,23,10,353
2015-09-14 16:00:00,15,71,22,10,353
2015-09-14 17:00:00,14,70,21,10,353
2015-09-14 18:00:00,14,70,20,10,353
2015-09-14 19:00:00,13,71,20,10,353
2015-09-14 20:00:00,13,71,21,10,119
2015-09-14 21:00:00,12,72,21,10,119
2015-09-14 22:00:00,12,72,21,10,119
2015-09-14 23:00:00,12,72,22,10,119
2015-09-15 00:00:00,12,72,22,10,119
2015-09-15 01:00:00,11,74,23,10,119
2015-09-15 02:00:00,11,76,24,10,116
2015-09-15 03:00:00,11,78,24,10,116
2015-09-15 04:00:00,11,79,25,10,116
2015-09-15 05:00:00,11,81,25,10,113
2015-09-15 06:00:00,11,83,26,10,113
2015-09-15 07:00:00,12,81,27,8,113
2015-09-15 08:00:00,12,79,28,6,266
