Date,Temperature,Humidity,Windspeed,Visibility,Weather Type
2015-08-01 00:00:00,15,65,9,10,116
2015-08-01 01:00:00,14,67,9,10,116
2015-08-01 02:00:00,13,68,8,10,116
2015-08-01 03:00:00,12,70,7,10,116
2015-08-01 04:00:00,13,69,7,10,116
2015-08-01 05:00:00,14,69,6,10,116
2015-08-01 06:00:00,14,68,5,10,116
2015-08-01 07:00:00,17,63,5,10,116
2015-08-01 08:00:00,19,57,5,10,116
2015-08-01 09:00:00,21,52,5,10,116
2015-08-01 10:00:00,23,47,5,10,116
2015-08-01 11:00:00,25,42,4,10,116
2015-08-01 12:00:00,27,38,4,10,116
2015-08-01 13:00:00,27,37,5,10,116
2015-08-01 14:00:00,27,36,6,10,116
2015-08-01 15:00:00,27,36,8,10,116
2015-08-01 16:00:00,27,40,9,10,116
2015-08-01 17:00:00,26,44,11,10,113
2015-08-01 18:00:00,25,48,12,10,113
2015-08-01 19:00:00,24,56,11,10,113
2015-08-01 20:00:00,22,63,9,10,113
2015-08-01 21:00:00,21,71,8,10,113
2015-08-01 22:00:00,19,75,7,10,113
2015-08-01 23:00:00,17,79,5,10,113
2015-08-02 00:00:00,14,84,4,10,113
2015-08-02 01:00:00,13,83,4,10,113
2015-08-02 02:00:00,12,82,4,10,113
2015-08-02 03:00:00,11,81,5,10,113
2015-08-02 04:00:00,12,77,4,10,113
2015-08-02 05:00:00,14,72,4,10,113
2015-08-02 06:00:00,15,68,4,10,113
2015-08-02 07:00:00,17,62,5,10,113
2015-08-02 08:00:00,19,56,6,10,113
2015-08-02 09:00:00,21,51,6,10,113
2015-08-02 10:00:00,23,46,8,10,113
2015-08-02 11:00:00,24,42,9,10,113
2015-08-02 12:00:00,26,38,10,10,113
2015-08-02 13:00:00,27,36,11,10,113
2015-08-02 14:00:00,27,35,11,10,113
2015-08-02 15:00:00,28,33,12,10,113
2015-08-02 16:00:00,27,36,12,10,113
2015-08-02 17:00:00,27,38,11,10,113
2015-08-02 18:00:00,26,41,10,10,113
2015-08-02 19:00:00,25,44,10,10,113
2015-08-02 20:00:00,24,47,10,10,113
2015-08-02 21:00:00,23,51,10,10,113
2015-08-02 22:00:00,22,53,11,10,113
2015-08-02 23:00:00,20,55,11,10,113
2015-08-03 00:00:00,19,56,11,10,113
2015-08-03 01:00:00,18,55,11,10,113
2015-08-03 02:00:00,18,54,11,10,113
2015-08-03 03:00:00,17,53,11,10,113
2015-08-03 04:00:00,18,53,12,10,113
2015-08-03 05:00:00,19,53,13,10,113
2015-08-03 06:00:00,20,54,14,10,113
2015-08-03 07:00:00,22,52,15,10,113
2015-08-03 08:00:00,23,51,17,10,113
2015-08-03 09:00:00,25,50,18,10,113
2015-08-03 10:00:00,27,46,19,10,113
2015-08-03 11:00:00,28,42,19,10,113
2015-08-03 12:00:00,30,38,19,10,113
2015-08-03 13:00:00,31,35,18,10,113
2015-08-03 14:00:00,31,33,18,10,113
2015-08-03 15:00:00,32,30,17,10,113
2015-08-03 16:00:00,30,35,15,10,113
2015-08-03 17:00:00,29,39,13,10,113
2015-08-03 18:00:00,28,44,10,10,113
2015-08-03 19:00:00,27,55,10,10,113
2015-08-03 20:00:00,26,65,9,10,116
2015-08-03 21:00:00,24,76,9,10,116
2015-08-03 22:00:00,23,79,9,10,116
2015-08-03 23:00:00,21,83,9,10,116
2015-08-04 00:00:00,20,86,9,10,116
2015-08-04 01:00:00,19,88,8,10,116
2015-08-04 02:00:00,18,90,7,10,176
2015-08-04 03:00:00,18,92,5,9,176
2015-08-04 04:00:00,18,93,7,9,176
2015-08-04 05:00:00,18,94,8,8,356
2015-08-04 06:00:00,18,95,10,8,356
2015-08-04 07:00:00,18,95,10,6,356
2015-08-04 08:00:00,18,95,10,5,266
2015-08-04 09:00:00,18,95,11,4,266
2015-08-04 10:00:00,19,86,12,5,266
2015-08-04 11:00:00,20,77,13,6,122
2015-08-04 12:00:00,21,68,14,7,122
2015-08-04 13:00:00,22,61,15,8,122
2015-08-04 14:00:00,23,53,17,9,113
2015-08-04 15:00:00,24,46,18,10,113
2015-08-04 16:00:00,23,47,18,10,113
2015-08-04 17:00:00,22,48,18,10,113
2015-08-04 18:00:00,21,49,18,10,113
2015-08-04 19:00:00,20,55,15,10,113
2015-08-04 20:00:00,19,61,13,10,122
2015-08-04 21:00:00,18,67,11,10,122
2015-08-04 22:00:00,16,71,10,10,122
2015-08-04 23:00:00,15,75,9,10,119
2015-08-05 00:00:00,14,79,8,10,119
