"collection1"
"match_type.text","match_type.src","match_type.alt","home.text","home.href","away","datum","score"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","JV De Pinte","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/jv-de-pinte","KAA Gent","24-06-2016 - 19:30","0 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","KVE Drongen","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/kve-drongen","KAA Gent","25-06-2016 - 18:00","0 - 7"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","SC Dikkelvenne","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/sc-dikkelvenne","KAA Gent","01-07-2016 - 19:00","0 - 3"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","KAA Gent","","Olympiakos Piraeus","08-07-2016 - 20:30","2 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","Cercle Brugge KSV","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/cercle-brugge-ksv","KAA Gent","09-07-2016 - 18:00","1 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","PEC Zwolle","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/pec-zwolle","KAA Gent","15-07-2016 - 19:00","3 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","AFC Ajax","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/afc-ajax","KAA Gent","16-07-2016 - 14:00","0 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","FC Samara","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/fc-samara","KAA Gent","22-07-2016 - 19:00","1 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/oefenwedstrijden-2016-2017-20160713170748.png","Oefenwedstrijden","Willem II","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2016-2017/all/willem-ii","KAA Gent","23-07-2016 - 18:00","1 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/uefa-europa-league-2016-2017-20160811105315.jpg","UEFA Europa League voorrondes","KAA Gent","","FC Viitorul Constanta","28-07-2016 - 20:30","5 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/jupiler-pro-league-2016-2017-20160713170708.png","Jupiler Pro League","KV Kortrijk","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2016-2017/all/kv-kortrijk","KAA Gent","31-07-2016 - 20:00","1 - 1"
