"collection1"
"match_type.text","match_type.src","match_type.alt","home.text","home.href","away","datum","score"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-championsleague.png","Champions League (groep H)","Valencia CF","http://www.kaagent.be/nl/team/games/champions-league-groep-h/all/valencia-cf","KAA Gent","20-10-2015 - 20:45","2 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","KV Oostende","24-10-2015 - 20:30
Uitverkocht","2 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KSC Lokeren OV","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/lokeren","KAA Gent","27-10-2015 - 20:30","1 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","OH Leuven","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/oh-leuven","KAA Gent","31-10-2015 - 18:00","0 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-championsleague.png","Champions League (groep H)","KAA Gent","","Valencia CF","04-11-2015 - 20:45
Uitverkocht","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","R Charleroi SC","08-11-2015 - 20:00
Uitverkocht","1 - 3"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","Deinze","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/deinze","KAA Gent","12-11-2015 - 19:00","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","KVC Westerlo","20-11-2015 - 20:30
Uitverkocht","5 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-championsleague.png","Champions League (groep H)","Olympique Lyon","http://www.kaagent.be/nl/team/games/champions-league-groep-h/all/olympique-lyon","KAA Gent","24-11-2015 - 20:45","1 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KRC Genk","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/krc-genk","KAA Gent","28-11-2015 - 18:00","0 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-crokycup.png","Croky Cup","KAA Gent","","SV Zulte-Waregem","01-12-2015 - 20:30","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","SV Zulte-Waregem","04-12-2015 - 20:30
Uitverkocht","2 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-championsleague.png","Champions League (groep H)","KAA Gent","","FC Zenit","09-12-2015 - 20:45
Uitverkocht","2 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","K Sint Truidense VV","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/k-sint-truidense-vv","KAA Gent","13-12-2015 - 18:00","0 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-crokycup.png","Croky Cup","KAA Gent","","YR KV Mechelen","16-12-2015 - 20:45","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","KV Kortrijk","20-12-2015 - 20:00
Uitverkocht","3 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","YR KV Mechelen","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/yr-kv-mechelen","KAA Gent","26-12-2015 - 20:00","2 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","KAA Gent","","FC Würzburger Kickers","08-01-2016 - 15:30","5 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","RSC Anderlecht","17-01-2016 - 14:30
Uitverkocht","2 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-crokycup.png","Croky Cup","KAA Gent","","Club Brugge KV","21-01-2016 - 20:45","2 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","R Standard de Liège","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/r-standard-de-lige","KAA Gent","24-01-2016 - 18:00","0 - 3"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","Waasland-Beveren","31-01-2016 - 20:00
Uitverkocht","2 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-crokycup.png","Croky Cup","Club Brugge KV","http://www.kaagent.be/nl/team/games/croky-cup-2015-2016/all/club-brugge-kv","KAA Gent","03-02-2016 - 20:45","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","Club Brugge KV","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/club-brugge-kv","KAA Gent","07-02-2016 - 14:30","1 - 0"
